[2018-12-07 12:09:42,132] [INFO] [bogon][common.py - line:39] push本地文件到设备命令:adb -s 192.168.56.101:5555 push /Users/xinxi/PycharmProjects/maxauto/monkey/libs/framework.jar /sdcard/
[2018-12-07 12:09:42,176] [INFO] [bogon][common.py - line:39] push本地文件到设备命令:adb -s 192.168.56.101:5555 push /Users/xinxi/PycharmProjects/maxauto/monkey/config/max.config /sdcard/
[2018-12-07 12:09:42,292] [INFO] [bogon][common.py - line:54] 未查询到pid
[2018-12-07 12:09:42,400] [INFO] [bogon][common.py - line:58] 结束:logcat,进程号:32127
[2018-12-07 12:09:42,402] [INFO] [bogon][monkey.py - line:65] Monkey执行命令:adb -s 192.168.56.101:5555 shell CLASSPATH=/sdcard/monkey.jar:/sdcard/framework.jar exec app_process /system/bin tv.panda.test.monkey.Monkey -p com.xueqiu.android --uiautomatordfs --imagepolling --running-minutes 1 --throttle 500 > /Users/xinxi/PycharmProjects/maxauto/report/tmp/monkey.log
[2018-12-07 12:10:18,948] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:10:18,948] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:10:30,782] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:10:30,782] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:10:45,626] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:10:45,627] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:11:06,800] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:11:06,800] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:11:17,991] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:11:17,991] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:11:30,408] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:11:30,409] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:17:26,192] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:17:26,193] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:17:26,352] [INFO] [bogon][installapp.py - line:37] 卸载app命令:adb -s 192.168.56.101:5555 uninstall com.tencent.qqmusic
[2018-12-07 12:17:26,357] [INFO] [bogon][installapp.py - line:40] 安装app命令:adb -s 192.168.56.101:5555 install /Users/xinxi/Downloads/QQMusic72282.apk
[2018-12-07 12:17:27,133] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:27,449] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:27,919] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:28,235] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:28,464] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:28,700] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:28,938] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:29,180] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:29,417] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:29,632] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:29,888] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:30,171] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:30,432] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:30,691] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:30,947] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:31,116] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/install_app.log文件完成
[2018-12-07 12:17:38,231] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:17:38,231] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:17:38,347] [INFO] [bogon][installapp.py - line:37] 卸载app命令:adb -s 192.168.56.101:5555 uninstall com.tencent.qqmusic
[2018-12-07 12:17:38,350] [INFO] [bogon][installapp.py - line:40] 安装app命令:adb -s 192.168.56.101:5555 install /Users/xinxi/Downloads/QQMusic72282.apk
[2018-12-07 12:17:38,904] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:39,420] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:40,000] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:40,244] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:40,465] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:40,696] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:40,937] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:41,164] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:41,384] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:41,627] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:41,879] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:42,115] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:42,352] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:42,579] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:42,831] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:43,063] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:43,427] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:43,667] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:43,915] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:44,143] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:44,395] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:44,632] [INFO] [bogon][installapp.py - line:57] app安装中!
